SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE
SUNREST,Sunrest Lifescience Limited,SM,20-Nov-23,10,INE0PLZ01012,10,
ROXHITECH,Rox Hi Tech Limited,SM,16-Nov-23,10,INE0PDJ01013,10,
BABAFP,Baba Food Processing (India) Limited,SM,15-Nov-23,10,INE0QW501012,10,
MICROPRO,Micropro Software Solutions Limited,SM,10-Nov-23,10,INE0PZK01014,10,
SARTELE,Sar Televenture Limited,SM,08-Nov-23,2,INE0PUC01020,2,
MAITREYA,Maitreya Medicare Limited,ST,07-Nov-23,10,INE0PLQ01011,10,
TRANSTEEL,Transteel Seating Technologies Limited,ST,06-Nov-23,10,INE0NVI01020,10,
PARAGON,Paragon Fine and Speciality Chemical Limited,ST,03-Nov-23,10,INE0N4G01012,10,
SHANTHALA,Shanthala FMCG Products Limited,SM,03-Nov-23,10,INE0Q9Q01017,10,
ONDOOR,On Door Concepts Limited,SM,01-Nov-23,10,INE00ER01015,10,
RCDL,Rajgor Castor Derivatives Limited,SM,31-Oct-23,10,INE0BZQ01011,10,
WOMANCART,Womancart Limited,ST,27-Oct-23,10,INE0Q9601016,10,
ARVINDPORT,ARVIND PORT AND INFRA LIMITED,ST,25-Oct-23,10,INE0P4T01013,10,
COMMITTED,Committed Cargo Care Limited,ST,18-Oct-23,10,INE597Z01014,10,
PLADAINFO,Plada Infotech Services Limited,SM,13-Oct-23,10,INE0PXD01014,10,
KARNIKA,Karnika Industries Limited,ST,12-Oct-23,10,INE0MGA01012,10,
SCML,Sharp Chucks and Machines Limited,SM,12-Oct-23,10,INE460Q01014,10,
OLIL,Oneclick Logistics India Limited,SM,11-Oct-23,10,INE0OPS01011,10,
CANARYS,Canarys Automations Limited,SM,11-Oct-23,2,INE0QG301017,2,
GOYALSALT,Goyal Salt Limited,SM,11-Oct-23,10,INE0QFE01017,10,
VISHNUINFR,Vishnusurya Projects and Infra Limited,ST,10-Oct-23,10,INE0PQ001012,10,
KONTOR,Kontor Space Limited,ST,10-Oct-23,10,INE0KZ301010,10,
ARABIAN,Arabian Petroleum Limited,SM,09-Oct-23,10,INE08NJ01024,10,
EFACTOR,E Factor Experiences Limited,ST,09-Oct-23,10,INE0KFF01017,10,
VINYAS,Vinyas Innovative Technologies Limited,ST,06-Oct-23,10,INE0OLS01010,10,
NEWJAISA,Newjaisa Technologies Limited,SM,05-Oct-23,5,INE0PW501021,5,
INSPIRE,Inspire Films Limited,SM,05-Oct-23,10,INE0NDX01019,10,
DIGIKORE,Digikore Studios Limited,ST,04-Oct-23,10,INE0QJ901011,10,
MAL,Mangalam Alloys Limited,SM,04-Oct-23,10,INE00C401011,10,
SAAKSHI,Saakshi Medtech and Panels Limited,SM,03-Oct-23,10,INE0PSK01027,10,
MASTER,Master Components Limited,ST,29-Sep-23,10,INE0OJM01017,10,
CELLECOR,Cellecor Gadgets Limited,ST,28-Sep-23,1,INE0OMO01025,1,
MARCO,Marco Cables & Conductors Limited,SM,28-Sep-23,10,INE0QP001012,10,
HIGREEN,Hi-Green Carbon Limited,ST,28-Sep-23,10,INE0PIC01017,10,
KODYTECH,Kody Technolab Limited,SM,27-Sep-23,10,INE0Q7P01013,10,
KEL,Kundan Edifice Limited,ST,26-Sep-23,10,INE0OWX01025,10,
MADHUSUDAN,Madhusudan Masala Limited,SM,26-Sep-23,10,INE0P6701019,10,
HOLMARC,Holmarc Opto-Mechatronics Limited,ST,25-Sep-23,10,INE0LXA01019,10,
CHAVDA,Chavda Infra Limited,SM,25-Sep-23,10,INE0PT101017,10,
UNIHEALTH,Unihealth Hospitals Limited,SM,21-Sep-23,10,INE0PRF01011,10,
JIWANRAM,Jiwanram Sheoduttrai Industries Limited,SM,18-Sep-23,10,INE0N5H01017,10,
SAROJA,Saroja Pharma Industries India Limited,SM,13-Sep-23,10,INE0PCL01011,10,
PRAMARA,Pramara Promotions Limited,SM,13-Sep-23,10,INE0O7A01017,10,
BASILIC,Basilic Fly Studio Limited,ST,11-Sep-23,10,INE0OCC01013,10,
CPS,C P S Shapers Limited,ST,07-Sep-23,10,INE0QBU01012,10,
MONOPHARMA,Mono Pharmacare Limited,SM,07-Sep-23,10,INE0OIP01012,10,
SAHAJ,Sahaj Fashions Limited,SM,06-Sep-23,10,INE013901017,10,
SEL,Sungarner Energies Limited,ST,31-Aug-23,10,INE0O3O01017,10,
CLSL,Crop Life Science Limited,SM,30-Aug-23,10,INE00NH01017,10,
SSFL,Srivari Spices And Foods Limited,ST,18-Aug-23,10,INE0ON201012,10,
YUDIZ,Yudiz Solutions Limited,ST,17-Aug-23,10,INE09FA01019,10,
SANGANI,Sangani Hospitals Limited,ST,17-Aug-23,10,INE0OVI01010,10,
ORIANA,Oriana Power Limited,SM,11-Aug-23,10,INE0OUT01019,10,
VINSYS,Vinsys IT Services India Limited,SM,11-Aug-23,10,INE0OSJ01014,10,
ZEAL,Zeal Global Services Limited,SM,09-Aug-23,10,INE0PPS01018,10,
SHRITECH,Shri Techtex Limited,SM,04-Aug-23,10,INE0OMF01015,10,
YCCL,Yasons Chemex Care Limited,SM,03-Aug-23,10,INE08S201019,10,
SERVICE,Service Care Limited,SM,26-Jul-23,10,INE0P1Q01015,10,
DRONE,Drone Destination Limited,ST,21-Jul-23,10,INE0P7201019,10,
SYNOPTICS,Synoptics Technologies Limited,SM,13-Jul-23,10,INE0BTR01012,10,
TRIDHYA,Tridhya Tech Limited,SM,13-Jul-23,10,INE0LWY01029,10,
GLOBALPET,Global Pet Industries Limited,SM,10-Jul-23,10,INE0PS501019,10,
PENTAGON,Pentagon Rubber Limited,SM,07-Jul-23,10,INE0ORS01017,10,
MAGSON,Magson Retail And Distribution Limited,SM,06-Jul-23,10,INE0O1S01012,10,
GREENCHEF,Greenchef Appliances Limited,SM,06-Jul-23,10,INE0O7P01015,10,
ESFL,Essen Speciality Films Limited,ST,06-Jul-23,10,INE0ITO01014,10,
AATMAJ,Aatmaj Healthcare Limited,SM,30-Jun-23,5,INE0OB201016,5,
VILINBIO,Vilin Bio Med Limited,SM,30-Jun-23,10,INE0L4V01013,10,
CELLPOINT,Cell Point (India) Limited,SM,28-Jun-23,10,INE0O0001013,10,
URBAN,Urban Enviro Waste Management Limited,ST,22-Jun-23,10,INE0O0201019,10,
SPECTSTM,Spectrum Talent Management Limited,ST,22-Jun-23,10,INE0OL001018,10,
KDL,Kore Digital Limited,ST,14-Jun-23,10,INE0O4R01018,10,
SAHANA,Sahana System Limited,SM,12-Jun-23,10,INE0LEX01011,10,
INFOLLION,Infollion Research Services Limited,ST,08-Jun-23,10,INE0NNZ01013,10,
PROV,Proventus Agrocom Limited,SM,05-Jun-23,10,INE0ONE01016,10,
DENTALKART,Vasa Denticity Limited,SM,02-Jun-23,10,INE0N5801013,10,
CRAYONS,Crayons Advertising Limited,SM,02-Jun-23,10,INE0OFK01019,10,
REMUS,Remus Pharmaceuticals Limited,SM,29-May-23,10,INE0O5T01011,10,
KRISHCA,Krishca Strapping Solutions Limited,SM,26-May-23,10,INE0NR701018,10,
AUROIMPEX,Auro Impex  & Chemicals Limited,SM,23-May-23,10,INE0NUL01018,10,
DENEERS,De Neers Tools Limited,ST,11-May-23,10,INE0JWV01011,10,
QUICKTOUCH,Quicktouch Technologies Limited,SM,02-May-23,10,INE0K4D01020,10,
AGUL,A G Universal Limited,SM,24-Apr-23,10,INE0O6N01012,10,
PATTECH,Pattech Fitwell Tube Components Limited,ST,21-Apr-23,10,INE0NZW01014,10,
MOS,Mos Utility Limited,ST,18-Apr-23,10,INE0N7S01010,10,
INFINIUM,Infinium Pharmachem Limited,ST,17-Apr-23,10,INE0MRE01011,10,
SOTAC,Sotac Pharmaceuticals Limited,SM,13-Apr-23,10,INE0O2D01012,10,
NIRMAN,Nirman Agri Genetics Limited,ST,28-Mar-23,10,INE0OK701014,10,
QFIL,Quality Foils (India) Limited,SM,24-Mar-23,10,INE0O1M01015,10,
